,index,algo,cell,dset,measure,rel value,split,value
180,3,deneux,3.0,3,corr,0.015522698564945037,test,0.30696414351982404
181,4,deneux,4.0,3,corr,0.1269710088656807,test,0.5393230772403692
182,5,deneux,5.0,3,corr,0.054735904000693725,test,0.4447551619238901
183,0,friedrich,0.0,3,corr,-0.019805955107163875,test,0.29454431754228716
184,1,friedrich,1.0,3,corr,0.01546576318061249,test,0.21830100950904013
185,2,friedrich,2.0,3,corr,0.11823452753161995,test,0.6072464068290383
186,3,friedrich,3.0,3,corr,0.0336996630392461,test,0.3251411079941251
187,4,friedrich,4.0,3,corr,0.16179956245410143,test,0.57415163082879
188,5,friedrich,5.0,3,corr,0.03239084945574505,test,0.4224101073789414
189,0,machado,0.0,3,corr,-0.06640219188455534,test,0.2479480807648957
190,1,machado,1.0,3,corr,-0.005385236491807416,test,0.19745000983662023
191,2,machado,2.0,3,corr,0.11038497799347019,test,0.5993968572908885
192,3,machado,3.0,3,corr,0.0045960683819010195,test,0.29603751333678
193,4,machado,4.0,3,corr,0.15210878636117708,test,0.5644608547358656
194,5,machado,5.0,3,corr,-0.03963711640851547,test,0.3503821415146809
195,0,mineault,0.0,3,corr,0.0010393030236862666,test,0.3153895756731373
196,1,mineault,1.0,3,corr,0.2424641534132544,test,0.44529939974168203
197,2,mineault,2.0,3,corr,0.11806423492306312,test,0.6070761142204815
198,3,mineault,3.0,3,corr,0.210870154554329,test,0.502311599509208
199,4,mineault,4.0,3,corr,0.1851102562046788,test,0.5974623245793673
200,5,mineault,5.0,3,corr,0.02457491289933944,test,0.4145941708225358
201,0,pachitariu,0.0,3,corr,-0.047119249309108546,test,0.2672310233403425
202,1,pachitariu,1.0,3,corr,-0.015142083835272685,test,0.18769316249315496
203,2,pachitariu,2.0,3,corr,0.08757786685592056,test,0.5765897461533389
204,3,pachitariu,3.0,3,corr,0.015181978050663292,test,0.3066234230055423
205,4,pachitariu,4.0,3,corr,0.11084625902773348,test,0.523198327402422
206,5,pachitariu,5.0,3,corr,0.014610447967633056,test,0.4046297058908294
207,0,ringach,0.0,3,corr,-0.008440968599558563,test,0.30590930404989247
208,1,ringach,1.0,3,corr,0.07245490172939867,test,0.2752901480578263
209,2,ringach,2.0,3,corr,0.07183632903425957,test,0.5608482083316779
210,3,ringach,3.0,3,corr,0.08204238484776988,test,0.3734838298026489
211,4,ringach,4.0,3,corr,0.10961907398142146,test,0.52197114235611
212,5,ringach,5.0,3,corr,0.011656067055695996,test,0.40167532497889236
213,0,rupprecht,0.0,3,corr,0.0980177046733256,test,0.41236797732277664
214,1,rupprecht,1.0,3,corr,0.14008777273221606,test,0.3429230190606437
215,2,rupprecht,2.0,3,corr,0.08545200336422937,test,0.5744638826616477
216,3,rupprecht,3.0,3,corr,0.16336244705998315,test,0.45480389201486215
217,4,rupprecht,4.0,3,corr,0.15064161642146479,test,0.5629936847961533
218,5,rupprecht,5.0,3,corr,-0.03664249712584711,test,0.35337676079734925
219,0,speiser,0.0,3,corr,0.029446600321624716,test,0.34379687297107575
220,1,speiser,1.0,3,corr,0.0938605611540127,test,0.29669580748244034
221,2,speiser,2.0,3,corr,0.1111454944307892,test,0.6001573737282075
222,3,speiser,3.0,3,corr,0.06772102323170565,test,0.35916246818658465
223,4,speiser,4.0,3,corr,0.11705507256085235,test,0.5294071409355409
224,5,speiser,5.0,3,corr,0.08739953168930625,test,0.4774187896125026
225,0,oopsi,0.0,3,corr,-0.15263368119298887,test,0.16171659145646217
226,1,oopsi,1.0,3,corr,-0.09258113539902348,test,0.11025411092940417
227,2,oopsi,2.0,3,corr,-0.07512038343303601,test,0.41389149586438234
228,3,oopsi,3.0,3,corr,-0.11308313479033485,test,0.17835831016454415
229,4,oopsi,4.0,3,corr,0.054006004031526555,test,0.4663580724062151
230,5,oopsi,5.0,3,corr,-0.1393310601681143,test,0.25068819775508205
231,0,stm,0.0,4,corr,,test,0.1146934662608776
232,1,stm,1.0,4,corr,,test,0.3278986317875829
233,2,stm,2.0,4,corr,,test,0.31840806138477845
234,0,chenkov,0.0,4,corr,0.004645939200373497,test,0.1193394054612511
235,1,chenkov,1.0,4,corr,0.0753533840775778,test,0.4032520158651607
236,2,chenkov,2.0,4,corr,0.11144274815366045,test,0.4298508095384389
237,0,deneux,0.0,4,corr,0.059711376136933905,test,0.1744048423978115
238,1,deneux,1.0,4,corr,0.044010104480532275,test,0.37190873626811516
239,2,deneux,2.0,4,corr,0.11636296975000032,test,0.4347710311347788
240,0,friedrich,0.0,4,corr,0.0193329922092471,test,0.1340264584701247
241,1,friedrich,1.0,4,corr,0.05235262292476356,test,0.38025125471234644
242,2,friedrich,2.0,4,corr,0.09297894877470375,test,0.4113870101594822
243,0,machado,0.0,4,corr,0.0364290114672849,test,0.1511224777281625
244,1,machado,1.0,4,corr,-0.01402763778916788,test,0.313870993998415
245,2,machado,2.0,4,corr,0.027301784207469815,test,0.34570984559224827
246,0,mineault,0.0,4,corr,0.0009976212344283697,test,0.11569108749530597
247,1,mineault,1.0,4,corr,0.05227369399716586,test,0.38017232578474874
248,2,mineault,2.0,4,corr,0.06367808139907255,test,0.382086142783851
249,0,pachitariu,0.0,4,corr,-0.016730503317736387,test,0.09796296294314122
250,1,pachitariu,1.0,4,corr,0.06684152357971529,test,0.3947401553672982
251,2,pachitariu,2.0,4,corr,0.044469959267586845,test,0.3628780206523653
252,0,ringach,0.0,4,corr,-0.031381593660127216,test,0.08331187260075039
253,1,ringach,1.0,4,corr,-0.08284735572262425,test,0.24505127606495863
254,2,ringach,2.0,4,corr,-0.0597176563153653,test,0.25869040506941315
255,0,rupprecht,0.0,4,corr,0.010868418078502681,test,0.1255618843393803
256,1,rupprecht,1.0,4,corr,0.04499311953584162,test,0.3728917513234245
257,2,rupprecht,2.0,4,corr,0.04674784859942244,test,0.3651559099842009
258,0,speiser,0.0,4,corr,0.07598676139657283,test,0.19068022765745044
259,1,speiser,1.0,4,corr,0.022018956022800684,test,0.34991758781038357
260,2,speiser,2.0,4,corr,0.09688814566545462,test,0.41529620705023307
261,0,oopsi,0.0,4,corr,-0.017704893499663796,test,0.09698857276121381
262,1,oopsi,1.0,4,corr,-0.12089436208619683,test,0.20700426970138605
