,index,algo,cell,dset,measure,split,value
336,6,deneux,6,2,corr_bits,test,0.9375190584509205
337,7,deneux,7,2,corr_bits,test,0.4497026399667634
338,8,deneux,8,2,corr_bits,test,2.4451300853005336
339,9,deneux,9,2,corr_bits,test,0.5588100266677232
340,0,deneux,0,2,rank,test,0.4673029794773624
341,1,deneux,1,2,rank,test,0.4323496162576104
342,2,deneux,2,2,rank,test,0.5528396107331419
343,3,deneux,3,2,rank,test,0.6792362928203624
344,4,deneux,4,2,rank,test,0.354980164634493
345,5,deneux,5,2,rank,test,0.32752675626948563
346,6,deneux,6,2,rank,test,0.545689490820688
347,7,deneux,7,2,rank,test,0.5134148539051183
348,8,deneux,8,2,rank,test,0.5159733215309596
349,9,deneux,9,2,rank,test,0.14832626572196098
350,0,deneux,0,2,auc,test,0.752012313789321
351,1,deneux,1,2,auc,test,0.9292518682762585
352,2,deneux,2,2,auc,test,0.9376591737762933
353,3,deneux,3,2,auc,test,0.8110126456238176
354,4,deneux,4,2,auc,test,0.8826666666666667
355,5,deneux,5,2,auc,test,0.682877586769989
356,6,deneux,6,2,auc,test,0.8184492226321021
357,7,deneux,7,2,auc,test,0.7524107675270466
358,8,deneux,8,2,auc,test,0.9340316205533596
359,9,deneux,9,2,auc,test,0.9385618932038835
360,0,friedrich,0,2,corr,test,0.4268888974675161
361,1,friedrich,1,2,corr,test,0.8328305128224344
362,2,friedrich,2,2,corr,test,0.8621620110567241
363,3,friedrich,3,2,corr,test,0.7505219390511735
364,4,friedrich,4,2,corr,test,0.790159731870992
365,5,friedrich,5,2,corr,test,0.11875429826523223
366,6,friedrich,6,2,corr,test,0.46165513377314515
367,7,friedrich,7,2,corr,test,0.4870998277160663
368,8,friedrich,8,2,corr,test,0.8959576051977473
369,9,friedrich,9,2,corr,test,0.5415755785492545
370,0,friedrich,0,2,corr_bits,test,0.2902402439772087
371,1,friedrich,1,2,corr_bits,test,1.7065431713472468
372,2,friedrich,2,2,corr_bits,test,1.9619759418635698
373,3,friedrich,3,2,corr_bits,test,1.1952300010836507
374,4,friedrich,4,2,corr_bits,test,1.412548217106682
375,5,friedrich,5,2,corr_bits,test,0.020490553962633357
376,6,friedrich,6,2,corr_bits,test,0.34579447009772596
377,7,friedrich,7,2,corr_bits,test,0.39074854146612586
378,8,friedrich,8,2,corr_bits,test,2.341829877759306
379,9,friedrich,9,2,corr_bits,test,0.5008385707313502
380,0,friedrich,0,2,rank,test,0.4252011626693068
381,1,friedrich,1,2,rank,test,0.46661092778838853
382,2,friedrich,2,2,rank,test,0.6194069137687062
383,3,friedrich,3,2,rank,test,0.6645553776479102
384,4,friedrich,4,2,rank,test,0.37260135258683025
385,5,friedrich,5,2,rank,test,0.2976503465753738
386,6,friedrich,6,2,rank,test,0.5068861362219351
387,7,friedrich,7,2,rank,test,0.4791184275800457
388,8,friedrich,8,2,rank,test,0.5685978811553126
389,9,friedrich,9,2,rank,test,0.15020489849545648
390,0,friedrich,0,2,auc,test,0.7035805527051414
391,1,friedrich,1,2,auc,test,0.9122115463578879
392,2,friedrich,2,2,auc,test,0.931781737990613
393,3,friedrich,3,2,auc,test,0.7797968734441899
394,4,friedrich,4,2,auc,test,0.8645295055821371
395,5,friedrich,5,2,auc,test,0.6266886375107626
396,6,friedrich,6,2,auc,test,0.7664948540434923
397,7,friedrich,7,2,auc,test,0.7049333418519464
398,8,friedrich,8,2,auc,test,0.9198048418972331
399,9,friedrich,9,2,auc,test,0.9052639563106795
400,0,machado,0,2,corr,test,0.47119886382944454
401,1,machado,1,2,corr,test,0.8308255492267203
402,2,machado,2,2,corr,test,0.7962595996227169
403,3,machado,3,2,corr,test,0.7429380512221865
404,4,machado,4,2,corr,test,0.745214870130139
405,5,machado,5,2,corr,test,0.08211163523362093
406,6,machado,6,2,corr,test,0.44685583428489006
407,7,machado,7,2,corr,test,0.507923948617646
408,8,machado,8,2,corr,test,0.8471729836079117
409,9,machado,9,2,corr,test,0.5941183819286155
410,0,machado,0,2,corr_bits,test,0.36221054759025506
411,1,machado,1,2,corr_bits,test,1.690922060012384
412,2,machado,2,2,corr_bits,test,1.4502001425113886
413,3,machado,3,2,corr_bits,test,1.1582907286997177
414,4,machado,4,2,corr_bits,test,1.1692423440600712
415,5,machado,5,2,corr_bits,test,0.009760052352297629
416,6,machado,6,2,corr_bits,test,0.32135137855963686
417,7,machado,7,2,corr_bits,test,0.4304831217103933
418,8,machado,8,2,corr_bits,test,1.8247095150096342
419,9,machado,9,2,corr_bits,test,0.6281103211498797
420,0,machado,0,2,rank,test,0.44865598376408844
421,1,machado,1,2,rank,test,0.4192269402610372
422,2,machado,2,2,rank,test,0.5247016886605785
423,3,machado,3,2,rank,test,0.5920741314293309
424,4,machado,4,2,rank,test,0.345921454180361
425,5,machado,5,2,rank,test,0.2939735613941936
426,6,machado,6,2,rank,test,0.5219504895510169
427,7,machado,7,2,rank,test,0.48849907105445606
428,8,machado,8,2,rank,test,0.504673646521994
429,9,machado,9,2,rank,test,0.15516609375915463
430,0,machado,0,2,auc,test,0.7380471320901596
431,1,machado,1,2,auc,test,0.9146084832060442
432,2,machado,2,2,auc,test,0.9108984638002648
433,3,machado,3,2,auc,test,0.7429055063228119
434,4,machado,4,2,auc,test,0.871358851674641
435,5,machado,5,2,auc,test,0.627557079659155
436,6,machado,6,2,auc,test,0.7990329223305876
437,7,machado,7,2,auc,test,0.7315486838742653
438,8,machado,8,2,auc,test,0.9216329051383398
439,9,machado,9,2,auc,test,0.9557038834951457
440,0,mineault,0,2,corr,test,0.21606704851419117
441,1,mineault,1,2,corr,test,0.8855867581108369
442,2,mineault,2,2,corr,test,0.8530265448037335
443,3,mineault,3,2,corr,test,0.8155634754871937
444,4,mineault,4,2,corr,test,0.7750517428668493
445,5,mineault,5,2,corr,test,0.21203230514801016
446,6,mineault,6,2,corr,test,0.5766834552537906
